,Id,Price
0,725,159418.20031882668
1,15856,244537.7801040899
2,5480,178269.3639989175
3,15664,338423.79083498224
4,14275,144257.13455126516
5,7633,206420.7750060444
6,13329,159032.20103924818
7,5502,224406.1624202322
8,4220,300369.46554590925
9,11538,206365.7184516611
10,15975,266584.06966120977
11,3310,215883.00729585043
12,9286,137872.88855314918
13,11260,199317.60516478342
14,5214,104691.95743317944
15,11307,183562.35525309911
16,13543,389752.330156757
17,615,173422.93246071503
18,3495,217451.56737610998
19,2321,256241.65613400185
20,12046,183207.39984378216
21,16688,146543.9161733572
22,12694,220275.1321322601
23,783,167667.04187590562
24,8968,163373.3098043366
25,13454,185098.52592612398
26,12190,251585.10066394618
27,11160,106970.7729796026
28,10291,180445.7449833384
29,891,283084.77155197074
30,2982,177073.5962499257
31,3818,271549.1937737317
32,2449,183906.63112838526
33,8317,165534.62737898252
34,4922,166004.7428547683
35,1257,230414.4432097517
36,9348,209046.91920445842
37,4176,173945.55074776674
38,10704,161601.62895407673
39,6624,114347.67313038457
40,5428,203929.15748043585
41,12749,171540.07279002163
42,8994,202732.83925746314
43,11513,147254.46612101805
44,3047,203252.37235254105
45,9519,209090.54404746744
46,12309,237238.87722619137
47,14081,252620.02175079705
48,8334,252180.6020075365
49,6343,185302.98692243668
50,14788,132937.13828534505
51,15748,243388.3543925872
52,153,238543.2173884812
53,14149,177226.54219787224
54,269,192706.74271099007
55,5452,129102.17232113534
56,721,139985.55390618512
57,5079,307171.1730249602
58,2831,111607.7470767252
59,10614,110714.75498718976
60,10131,286337.4614185005
61,9996,305151.0445787733
62,3061,192289.9295740797
63,11733,300445.73776801355
64,3726,235359.4657758978
65,10929,220732.2555084167
66,9011,216966.03019825238
67,16182,268458.7340158384
68,4976,182246.03322265137
69,9897,254691.03975583633
70,1872,167606.7608096475
71,9205,339033.63015312876
72,5403,388411.3192178599
73,14074,180314.7245911463
74,6268,154529.74289468752
75,14232,162746.12728357024
76,8532,220030.42838626384
77,7034,343729.92736079905
78,6553,492522.8053053891
79,3133,170216.52500402907
80,8596,213088.359614871
81,12389,247851.66907431066
82,14462,178280.1050927881
83,8860,284756.6089846939
84,8377,309092.6737028398
85,6367,332052.29933199874
86,6917,247353.2522416145
87,4216,200449.17586589523
88,5806,174793.3812371313
89,5438,190489.13875784335
90,6632,220521.7350838472
91,2650,155105.37552582874
92,5396,148751.4686639635
93,4044,153303.98232010842
94,1345,247744.98626729773
95,856,169521.32106232984
96,12791,258251.75853728055
97,12499,213696.80760118022
98,12249,129511.66637785066
99,14641,153112.45526803684
100,1919,163522.45819633713
101,7848,191186.4558852365
102,10749,188923.14273787168
103,15554,178047.57209676702
104,15834,211529.94379237472
105,1355,171390.37383042145
106,15451,178955.18837667664
107,12401,218208.0377996364
108,10290,165849.4828550315
109,9462,130788.82475253685
110,3103,235003.7322085572
111,3420,142731.58369539425
112,12262,240285.98274646036
113,5032,138875.33452536678
114,8949,329650.8035907571
115,15567,229183.77128703726
116,16389,165151.97191992347
117,7809,92415.51390638037
118,8990,201781.60583425435
119,16089,224123.04875702396
120,12743,108674.25227234015
121,5132,125591.8456635575
122,1619,272808.00235847424
123,2428,82370.15453574061
124,16741,160396.79235687014
125,13193,214249.25935557648
126,12588,540753.7927524417
127,5067,167598.09746364088
128,14685,126952.0250802239
129,2292,167515.42283606782
130,5746,125857.28661548969
131,12578,188519.7003116241
132,14834,180198.07652821986
133,2147,174991.52220688903
134,8222,133191.42797583345
135,10419,260644.47591668533
136,11492,206601.81937038826
137,3006,225108.6493663374
138,8761,195085.14056325794
139,15371,315161.8018592345
140,16367,159361.54287247118
141,6317,266559.4404353452
142,10878,267371.33841688035
143,3895,157453.28282364836
144,8041,122557.44821807065
145,13428,474464.194446758
146,14669,145348.55239746766
147,1006,179837.7900998824
148,12271,173921.73564665747
149,3764,206174.36219161862
150,7675,206003.47409656012
151,11709,284763.5723536097
152,8629,145170.00444318439
153,1105,362565.82506374194
154,6096,200136.05574815834
155,11727,212308.29429786428
156,5157,138702.60248907964
157,3679,140665.40744877377
158,1755,131617.8343408628
159,7391,208151.62828053825
160,7425,106870.8814445053
161,6882,315653.55258508824
162,10752,415649.80834650435
163,7472,225752.62881363655
164,14320,108095.13665876757
165,9596,166254.29070205084
